n,3n+1,k,2^k,(3n+1)/(2^k)
1,4,2,4,1
3,10,1,2,5
5,16,4,16,1
7,22,1,2,11
9,28,2,4,7
11,34,1,2,17
13,40,3,8,5
15,46,1,2,23
17,52,2,4,13
19,58,1,2,29
21,64,6,64,1
23,70,1,2,35
25,76,2,4,19
27,82,1,2,41
29,88,3,8,11
31,94,1,2,47
33,100,2,4,25
35,106,1,2,53
37,112,4,16,7
39,118,1,2,59
41,124,2,4,31
43,130,1,2,65
45,136,3,8,17
47,142,1,2,71
49,148,2,4,37
51,154,1,2,77
53,160,5,32,5
55,166,1,2,83
57,172,2,4,43
59,178,1,2,89
61,184,3,8,23
63,190,1,2,95
65,196,2,4,49
67,202,1,2,101
69,208,4,16,13
71,214,1,2,107
73,220,2,4,55
75,226,1,2,113
77,232,3,8,29
79,238,1,2,119
81,244,2,4,61
83,250,1,2,125
85,256,8,256,1
87,262,1,2,131
89,268,2,4,67
91,274,1,2,137
93,280,3,8,35
95,286,1,2,143
97,292,2,4,73
99,298,1,2,149
101,304,4,16,19
103,310,1,2,155
105,316,2,4,79
107,322,1,2,161
109,328,3,8,41
111,334,1,2,167
113,340,2,4,85
115,346,1,2,173
117,352,5,32,11
119,358,1,2,179
121,364,2,4,91
123,370,1,2,185
125,376,3,8,47
127,382,1,2,191
129,388,2,4,97
131,394,1,2,197
133,400,4,16,25
135,406,1,2,203
137,412,2,4,103
139,418,1,2,209
141,424,3,8,53
143,430,1,2,215
145,436,2,4,109
147,442,1,2,221
149,448,6,64,7
151,454,1,2,227
153,460,2,4,115
155,466,1,2,233
157,472,3,8,59
159,478,1,2,239
161,484,2,4,121
163,490,1,2,245
165,496,4,16,31
167,502,1,2,251
169,508,2,4,127
171,514,1,2,257
173,520,3,8,65
175,526,1,2,263
177,532,2,4,133
179,538,1,2,269
181,544,5,32,17
183,550,1,2,275
185,556,2,4,139
187,562,1,2,281
189,568,3,8,71
191,574,1,2,287
193,580,2,4,145
195,586,1,2,293
197,592,4,16,37
199,598,1,2,299
201,604,2,4,151
203,610,1,2,305
205,616,3,8,77
207,622,1,2,311
209,628,2,4,157
211,634,1,2,317
213,640,7,128,5
215,646,1,2,323
217,652,2,4,163
219,658,1,2,329
221,664,3,8,83
223,670,1,2,335
225,676,2,4,169
227,682,1,2,341
229,688,4,16,43
231,694,1,2,347
233,700,2,4,175
235,706,1,2,353
237,712,3,8,89
239,718,1,2,359
241,724,2,4,181
